"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Jun 09, 2022","
",4.3810,"
",4.4450,"
",4.4515,"
",4.3555,"
",63.34K, ,-1.65%,"
"
"
","Jun 08, 2022","
",4.4545,"
",4.4435,"
",4.4575,"
",4.3965,"
",55.10K, ,0.43%,"
"
"
","Jun 07, 2022","
",4.4355,"
",4.4325,"
",4.4615,"
",4.3705,"
",62.70K, ,0.01%,"
"
"
","Jun 06, 2022","
",4.4350,"
",4.4670,"
",4.4720,"
",4.4060,"
",63.74K, ,-0.83%,"
"
"
","Jun 03, 2022","
",4.4720,"
",4.5550,"
",4.5770,"
",4.4580,"
",41.71K, ,-1.77%,"
"
"
","Jun 02, 2022","
",4.5525,"
",4.3280,"
",4.5690,"
",4.3075,"
",71.81K, ,5.18%,"
"
"
","Jun 01, 2022","
",4.3285,"
",4.2855,"
",4.3500,"
",4.2590,"
",56.00K, ,0.76%,"
"
"
","May 31, 2022","
",4.2960,"
",4.3200,"
",4.3665,"
",4.2740,"
",65.27K, ,-0.88%,"
"
"
","May 30, 2022","
",4.3340,"
",4.3225,"
",4.3595,"
",4.3098,"
",-, ,0.25%,"
"
"
","May 29, 2022","
",4.3232,"
",4.3215,"
",4.3260,"
",4.3170,"
",-, ,0.39%,"
"
"
","May 27, 2022","
",4.3065,"
",4.2730,"
",4.3270,"
",4.2550,"
",37.16K, ,1.12%,"
"
"
","May 26, 2022","
",4.2590,"
",4.2685,"
",4.2800,"
",4.2035,"
",41.96K, ,0.11%,"
"
"
","May 25, 2022","
",4.2545,"
",4.3140,"
",4.3225,"
",4.2230,"
",44.20K, ,-1.17%,"
"
"
","May 24, 2022","
",4.3050,"
",4.3410,"
",4.3415,"
",4.2565,"
",45.14K, ,-0.93%,"
"
"
","May 23, 2022","
",4.3455,"
",4.2945,"
",4.3550,"
",4.2720,"
",50.50K, ,1.65%,"
"
"
","May 20, 2022","
",4.2750,"
",4.2775,"
",4.3275,"
",4.2505,"
",45.49K, ,-0.19%,"
"
"
","May 19, 2022","
",4.2830,"
",4.1550,"
",4.2980,"
",4.1445,"
",56.57K, ,2.50%,"
"
"
","May 18, 2022","
",4.1785,"
",4.2295,"
",4.2480,"
",4.1315,"
",45.56K, ,-1.43%,"
"
"
","May 17, 2022","
",4.2390,"
",4.2030,"
",4.2835,"
",4.2030,"
",45.16K, ,1.13%,"
"
"
","May 16, 2022","
",4.1915,"
",4.1795,"
",4.2200,"
",4.1335,"
",41.78K, ,0.40%,"
"
"
","May 13, 2022","
",4.1750,"
",4.0860,"
",4.1850,"
",4.0550,"
",49.92K, ,1.82%,"
"
"
","May 12, 2022","
",4.1005,"
",4.2115,"
",4.2230,"
",4.0370,"
",67.53K, ,-2.58%,"
"
"
","May 11, 2022","
",4.2090,"
",4.1550,"
",4.2500,"
",4.1485,"
",54.18K, ,1.31%,"
"
"
","May 10, 2022","
",4.1545,"
",4.1960,"
",4.2580,"
",4.1285,"
",57.71K, ,-0.93%,"
"
"
","May 09, 2022","
",4.1935,"
",4.2380,"
",4.2450,"
",4.1240,"
",68.33K, ,-1.72%,"
"
"
","May 06, 2022","
",4.2670,"
",4.2905,"
",4.3190,"
",4.2310,"
",47.86K, ,-0.57%,"
"
"
","May 05, 2022","
",4.2915,"
",4.3670,"
",4.4400,"
",4.2765,"
",61.50K, ,-1.07%,"
"
"
","May 04, 2022","
",4.3380,"
",4.2990,"
",4.3835,"
",4.2510,"
",50.39K, ,1.28%,"
"
"
","May 03, 2022","
",4.2830,"
",4.2855,"
",4.3600,"
",4.2635,"
",52.69K, ,0.35%,"
"
"
","May 02, 2022","
",4.2680,"
",4.3930,"
",4.4040,"
",4.2040,"
",47.30K, ,-3.19%,"
"
"
","Apr 29, 2022","
",4.4085,"
",4.4440,"
",4.5120,"
",4.3715,"
",49.49K, ,-0.56%,"
"
"
","Apr 28, 2022","
",4.4335,"
",4.4645,"
",4.4935,"
",4.3865,"
",50.92K, ,-0.93%,"
"
"
","Apr 27, 2022","
",4.4750,"
",4.4155,"
",4.5145,"
",4.4155,"
",71.22K, ,0.25%,"
"
"
","Apr 26, 2022","
",4.4640,"
",4.4995,"
",4.5445,"
",4.4080,"
",58.65K, ,-0.18%,"
"
