"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Jun 09, 2022","
","30,112.2","
","30,226.0","
","30,711.8","
","29,957.0","
",2.10K, ,-0.39%,"
"
"
","Jun 08, 2022","
","30,230.0","
","31,149.0","
","31,331.0","
","29,887.0","
",2.65K, ,-2.95%,"
"
"
","Jun 07, 2022","
","31,149.0","
","31,371.0","
","31,577.0","
","29,231.0","
",6.42K, ,-0.71%,"
"
"
","Jun 06, 2022","
","31,371.0","
","29,923.4","
","31,764.0","
","29,907.0","
",4.78K, ,4.84%,"
"
"
","Jun 05, 2022","
","29,923.4","
","29,877.0","
","30,196.0","
","29,541.0","
",1.72K, ,0.16%,"
"
"
","Jun 04, 2022","
","29,877.0","
","29,730.0","
","29,981.0","
","29,506.0","
",1.50K, ,0.49%,"
"
"
","Jun 03, 2022","
","29,730.0","
","30,478.0","
","30,707.0","
","29,346.0","
",3.04K, ,-2.45%,"
"
"
","Jun 02, 2022","
","30,478.0","
","29,832.0","
","30,712.0","
","29,620.0","
",5.93K, ,2.17%,"
"
"
","Jun 01, 2022","
","29,832.0","
","31,792.0","
","31,974.0","
","29,354.0","
",4.84K, ,-6.17%,"
"
"
","May 31, 2022","
","31,792.0","
","31,726.3","
","32,390.8","
","31,220.0","
",2.92K, ,0.21%,"
"
"
","May 30, 2022","
","31,726.3","
","29,476.0","
","32,191.0","
","29,310.6","
",7.93K, ,7.63%,"
"
"
","May 29, 2022","
","29,476.0","
","29,037.0","
","29,586.0","
","28,851.0","
",2.57K, ,1.51%,"
"
"
","May 28, 2022","
","29,037.0","
","28,609.0","
","29,259.0","
","28,528.3","
",1.65K, ,1.50%,"
"
"
","May 27, 2022","
","28,609.0","
","29,213.0","
","29,377.8","
","28,267.1","
",4.37K, ,-2.07%,"
"
"
","May 26, 2022","
","29,213.0","
","29,524.0","
","29,859.2","
","28,005.0","
",5.54K, ,-1.05%,"
"
"
","May 25, 2022","
","29,524.0","
","29,647.0","
","30,218.0","
","29,345.0","
",2.15K, ,-0.41%,"
"
"
","May 24, 2022","
","29,647.0","
","29,091.0","
","29,822.0","
","28,690.0","
",2.91K, ,1.91%,"
"
"
","May 23, 2022","
","29,091.0","
","30,283.0","
","30,666.0","
","28,868.0","
",2.79K, ,-3.94%,"
"
"
","May 22, 2022","
","30,283.0","
","29,439.0","
","30,466.0","
","29,253.0","
",2.68K, ,2.87%,"
"
"
","May 21, 2022","
","29,439.0","
","29,202.0","
","29,652.0","
","28,963.0","
",1.28K, ,0.81%,"
"
"
","May 20, 2022","
","29,202.0","
","30,329.0","
","30,764.0","
","28,713.0","
",3.94K, ,-3.72%,"
"
"
","May 19, 2022","
","30,329.0","
","28,680.0","
","30,542.0","
","28,673.0","
",4.49K, ,5.75%,"
"
"
","May 18, 2022","
","28,680.0","
","30,442.0","
","30,702.0","
","28,634.0","
",3.94K, ,-5.79%,"
"
"
","May 17, 2022","
","30,442.0","
","29,854.0","
","30,766.0","
","29,445.9","
",3.07K, ,1.97%,"
"
"
","May 16, 2022","
","29,854.0","
","31,318.0","
","31,324.1","
","29,083.0","
",4.52K, ,-4.68%,"
"
"
","May 15, 2022","
","31,319.0","
","30,104.0","
","31,416.0","
","29,483.0","
",2.74K, ,4.04%,"
"
"
","May 14, 2022","
","30,104.0","
","29,306.0","
","30,346.0","
","28,674.0","
",4.13K, ,2.72%,"
"
"
","May 13, 2022","
","29,306.0","
","29,089.5","
","31,068.0","
","28,831.0","
",8.72K, ,0.74%,"
"
"
","May 12, 2022","
","29,089.5","
","29,095.0","
","30,224.0","
","26,600.0","
",34.25K, ,-0.02%,"
"
"
","May 11, 2022","
","29,095.0","
","31,061.0","
","32,181.0","
","27,902.0","
",28.73K, ,-6.30%,"
"
"
","May 10, 2022","
","31,050.0","
","30,158.0","
","32,681.0","
","29,845.0","
",14.17K, ,2.96%,"
"
"
","May 09, 2022","
","30,158.0","
","34,064.0","
","34,259.0","
","30,114.0","
",21.24K, ,-11.52%,"
"
"
","May 08, 2022","
","34,084.0","
","35,506.0","
","35,540.0","
","33,779.0","
",6.58K, ,-4.01%,"
"
"
","May 07, 2022","
","35,508.0","
","36,040.0","
","36,163.0","
","34,879.0","
",3.78K, ,-1.48%,"
"
"
","May 06, 2022","
","36,040.0","
","36,577.0","
","36,684.0","
","35,315.0","
",7.60K, ,-1.47%,"
"
"
","May 05, 2022","
","36,577.0","
","39,701.2","
","39,843.0","
","36,209.0","
",9.74K, ,-7.87%,"
"
"
","May 04, 2022","
","39,701.2","
","37,751.0","
","39,996.0","
","37,695.0","
",5.26K, ,5.17%,"
"
"
","May 03, 2022","
","37,751.0","
","38,520.0","
","38,673.5","
","37,555.0","
",3.62K, ,-2.00%,"
"
"
","May 02, 2022","
","38,520.0","
","38,496.1","
","39,184.0","
","38,090.7","
",3.59K, ,0.06%,"
"
"
","May 01, 2022","
","38,496.1","
","37,662.0","
","38,689.0","
","37,426.0","
",3.06K, ,2.21%,"
"
"
","Apr 30, 2022","
","37,662.0","
","38,600.0","
","38,791.6","
","37,633.0","
",2.91K, ,-2.43%,"
"
"
","Apr 29, 2022","
","38,600.0","
","39,757.8","
","39,927.2","
","38,200.7","
",3.19K, ,-2.91%,"
"
"
","Apr 28, 2022","
","39,757.8","
","39,263.0","
","40,364.0","
","38,922.0","
",4.65K, ,1.26%,"
"
"
","Apr 27, 2022","
","39,263.0","
","38,139.0","
","39,478.0","
","37,901.0","
",4.20K, ,2.95%,"
"
"
","Apr 26, 2022","
","38,139.0","
","40,456.0","
","40,800.3","
","37,762.0","
",4.73K, ,-5.73%,"
"
"
","Apr 25, 2022","
","40,456.0","
","39,486.0","
","40,588.0","
","38,200.0","
",6.01K, ,2.46%,"
"
"
","Apr 24, 2022","
","39,486.0","
","39,444.0","
","39,949.0","
","38,963.0","
",2.19K, ,0.10%,"
"
"
","Apr 23, 2022","
","39,446.7","
","39,726.0","
","40,008.0","
","39,312.0","
",1.92K, ,-0.70%,"
"
"
","Apr 22, 2022","
","39,724.0","
","40,502.0","
","40,799.0","
","39,195.0","
",4.13K, ,-1.92%,"
"
"
","Apr 21, 2022","
","40,502.0","
","41,365.0","
","42,977.0","
","39,807.0","
",4.56K, ,-2.09%,"
"
"
","Apr 20, 2022","
","41,366.4","
","41,516.8","
","42,195.4","
","40,905.0","
",3.73K, ,-0.36%,"
"
"
","Apr 19, 2022","
","41,516.8","
","40,821.0","
","41,743.0","
","40,601.0","
",2.40K, ,1.70%,"
"
"
","Apr 18, 2022","
","40,821.0","
","39,707.6","
","41,123.2","
","38,557.0","
",4.99K, ,2.80%,"
"
"
","Apr 17, 2022","
","39,707.6","
","40,408.7","
","40,611.0","
","39,567.0","
",1.66K, ,-1.74%,"
"
"
","Apr 16, 2022","
","40,408.7","
","40,587.0","
","40,717.0","
","40,033.1","
",1.49K, ,-0.44%,"
"
"
","Apr 15, 2022","
","40,587.0","
","39,948.0","
","40,807.0","
","39,792.0","
",2.21K, ,1.60%,"
"
"
","Apr 14, 2022","
","39,948.0","
","41,155.0","
","41,510.3","
","39,604.0","
",3.17K, ,-2.93%,"
"
"
","Apr 13, 2022","
","41,155.0","
","40,088.0","
","41,540.0","
","39,607.0","
",4.57K, ,2.66%,"
"
"
","Apr 12, 2022","
","40,087.0","
","39,565.0","
","40,649.0","
","39,300.0","
",4.11K, ,1.32%,"
"
"
","Apr 11, 2022","
","39,565.0","
","42,181.0","
","42,437.0","
","39,274.0","
",6.70K, ,-6.20%,"
"
"
","Apr 10, 2022","
","42,181.0","
","42,780.0","
","43,460.0","
","41,933.0","
",3.03K, ,-1.40%,"
"
"
","Apr 09, 2022","
","42,780.0","
","42,277.0","
","42,824.0","
","42,137.0","
",1.92K, ,1.19%,"
"
"
","Apr 08, 2022","
","42,277.0","
","43,458.0","
","43,984.0","
","42,137.3","
",4.35K, ,-2.72%,"
"
"
","Apr 07, 2022","
","43,458.0","
","43,195.9","
","43,899.0","
","42,804.0","
",2.40K, ,0.60%,"
"
"
","Apr 06, 2022","
","43,199.0","
","45,481.0","
","45,515.1","
","43,162.0","
",5.84K, ,-5.02%,"
"
"
","Apr 05, 2022","
","45,481.0","
","46,611.1","
","47,173.0","
","45,376.0","
",2.59K, ,-2.42%,"
"
"
","Apr 04, 2022","
","46,611.1","
","46,383.0","
","46,900.0","
","45,128.0","
",3.45K, ,0.49%,"
"
"
","Apr 03, 2022","
","46,383.0","
","45,825.0","
","47,414.0","
","45,570.0","
",3.01K, ,1.22%,"
"
"
","Apr 02, 2022","
","45,825.0","
","46,301.0","
","47,216.0","
","45,640.0","
",2.27K, ,-1.03%,"
"
"
","Apr 01, 2022","
","46,301.0","
","45,535.0","
","46,717.0","
","44,245.9","
",3.96K, ,1.68%,"
"
"
","Mar 31, 2022","
","45,535.0","
","47,035.0","
","47,665.0","
","45,224.4","
",4.66K, ,-3.19%,"
"
"
","Mar 30, 2022","
","47,035.0","
","47,424.0","
","47,675.0","
","46,602.0","
",4.30K, ,-0.82%,"
"
"
","Mar 29, 2022","
","47,424.0","
","47,105.0","
","48,099.0","
","46,964.0","
",3.38K, ,0.68%,"
"
"
","Mar 28, 2022","
","47,105.0","
","46,836.0","
","48,159.0","
","46,666.0","
",6.38K, ,0.57%,"
"
"
","Mar 27, 2022","
","46,836.0","
","44,536.4","
","46,862.0","
","44,440.0","
",5.65K, ,5.16%,"
"
"
","Mar 26, 2022","
","44,536.4","
","44,337.0","
","44,785.0","
","44,112.7","
",1.31K, ,0.45%,"
"
"
","Mar 25, 2022","
","44,337.0","
","44,003.0","
","45,082.0","
","43,607.0","
",4.36K, ,0.76%,"
"
"
","Mar 24, 2022","
","44,003.0","
","42,885.0","
","44,221.0","
","42,670.0","
",3.78K, ,2.61%,"
"
"
","Mar 23, 2022","
","42,882.0","
","42,370.0","
","42,995.0","
","41,772.0","
",2.75K, ,1.21%,"
"
"
","Mar 22, 2022","
","42,370.0","
","41,011.0","
","43,319.0","
","40,886.0","
",5.00K, ,3.26%,"
"
"
","Mar 21, 2022","
","41,031.0","
","41,264.0","
","41,535.0","
","40,544.0","
",2.62K, ,-0.53%,"
"
"
","Mar 20, 2022","
","41,249.0","
","42,213.0","
","42,292.0","
","40,933.0","
",1.81K, ,-2.29%,"
"
"
","Mar 19, 2022","
","42,214.0","
","41,774.0","
","42,373.0","
","41,491.0","
",2.14K, ,1.05%,"
"
"
","Mar 18, 2022","
","41,774.0","
","40,942.6","
","42,333.0","
","40,236.0","
",3.77K, ,2.03%,"
"
"
","Mar 17, 2022","
","40,942.6","
","41,148.0","
","41,451.0","
","40,553.0","
",2.29K, ,-0.50%,"
"
"
","Mar 16, 2022","
","41,148.0","
","39,316.6","
","41,728.0","
","38,974.0","
",8.54K, ,4.66%,"
"
"
","Mar 15, 2022","
","39,317.0","
","39,717.9","
","39,886.9","
","38,212.0","
",5.30K, ,-1.01%,"
"
"
","Mar 14, 2022","
","39,717.0","
","37,777.1","
","39,977.0","
","37,570.0","
",8.05K, ,5.14%,"
"
"
","Mar 13, 2022","
","37,777.1","
","38,816.3","
","39,314.0","
","37,592.0","
",3.42K, ,-2.68%,"
"
"
","Mar 12, 2022","
","38,816.3","
","38,737.0","
","39,397.0","
","38,679.0","
",1.81K, ,0.20%,"
"
"
","Mar 11, 2022","
","38,737.0","
","39,458.5","
","40,228.0","
","38,236.4","
",9.57K, ,-1.83%,"
"
"
","Mar 10, 2022","
","39,458.5","
","41,964.0","
","42,069.0","
","38,646.0","
",6.67K, ,-5.97%,"
"
"
","Mar 09, 2022","
","41,962.3","
","38,757.0","
","42,593.0","
","38,692.5","
",5.96K, ,8.27%,"
"
"
","Mar 08, 2022","
","38,757.0","
","38,039.0","
","39,385.1","
","37,906.0","
",5.51K, ,1.89%,"
"
"
","Mar 07, 2022","
","38,039.0","
","38,437.0","
","39,559.0","
","37,198.0","
",6.78K, ,-1.04%,"
"
"
","Mar 06, 2022","
","38,437.0","
","39,408.0","
","39,715.0","
","38,151.0","
",3.37K, ,-2.46%,"
"
"
","Mar 05, 2022","
","39,408.0","
","39,171.0","
","39,628.0","
","38,680.0","
",2.19K, ,0.61%,"
"
"
","Mar 04, 2022","
","39,171.0","
","42,489.0","
","42,559.0","
","38,621.0","
",6.38K, ,-7.81%,"
"
"
","Mar 03, 2022","
","42,490.0","
","43,952.0","
","44,103.0","
","41,862.0","
",3.89K, ,-3.33%,"
"
"
","Mar 02, 2022","
","43,952.0","
","44,442.0","
","45,326.0","
","43,386.0","
",5.57K, ,-1.10%,"
"
"
","Mar 01, 2022","
","44,442.0","
","43,202.0","
","44,939.0","
","42,878.0","
",6.34K, ,2.87%,"
"
"
","Feb 28, 2022","
","43,202.0","
","37,734.0","
","44,198.0","
","37,502.0","
",8.45K, ,14.49%,"
"
"
","Feb 27, 2022","
","37,734.0","
","39,137.1","
","39,888.0","
","37,067.1","
",5.48K, ,-3.56%,"
"
"
","Feb 26, 2022","
","39,125.0","
","39,243.0","
","40,274.0","
","38,633.0","
",3.59K, ,-0.30%,"
"
"
","Feb 25, 2022","
","39,243.0","
","38,380.0","
","39,717.0","
","38,071.1","
",6.43K, ,2.25%,"
"
